tt0648122	2	actress	["Velda"]	Velda
tt0648122	3	actor	["Captain Pat Chambers"]	Captain,Pat
tt0648123	1	actor	["Mike Hammer"]	Mike
tt0648123	2	actress	["Velda"]	Velda
tt0648123	3	actor	["Captain Pat Chambers"]	Captain,Pat
tt0648124	1	actor	["Mike Hammer"]	Mike
tt0648124	2	actress	["Velda"]	Velda
tt0648124	3	actor	["Captain Pat Chambers"]	Captain,Pat
tt0648124	4	actor	["Special Prosecutor Lawrence D. Barrington"]	Lawrence
tt0648126	1	actor	["Mike Hammer"]	Mike
tt0648126	2	actress	["Velda"]	Velda
tt0648126	3	actor	["Captain Pat Chambers"]	Captain,Pat
tt0648127	1	actor	["Mike Hammer"]	Mike
tt0648127	2	actress	["Velda"]	Velda
tt0648127	3	actor	["Captain Pat Chambers"]	Captain,Pat
tt0648127	4	actor	["Special Prosecutor Lawrence D. Barrington"]	Lawrence
tt0648128	1	actor	["Mike Hammer"]	Mike
tt0648128	2	actress	["Velda"]	Velda
tt0648128	3	actor	["Captain Pat Chambers"]	Captain,Pat
tt0648128	4	actor	["Special Prosecutor Lawrence D. Barrington"]	Lawrence
tt0648129	1	actor	["Mike Hammer"]	Mike
tt0648129	2	actress	["Velda"]	Velda
tt0648129	3	actor	["Captain Pat Chambers"]	Captain,Pat
tt0648129	4	actor	["Special Prosecutor Lawrence D. Barrington"]	Lawrence
tt0648130	1	actor	["Mike Hammer"]	Mike
tt0648130	2	actress	["Velda"]	Velda
tt0648130	3	actor	["Captain Pat Chambers"]	Captain,Pat
tt0648130	4	actress	["Vickie"]	Vickie
tt0648131	1	actor	["Mike Hammer"]	Mike
tt0648131	2	actress	["Velda"]	Velda
tt0648131	3	actor	["Captain Pat Chambers"]	Captain,Pat
tt0648131	4	actor	["Special Prosecutor Lawrence D. Barrington"]	Lawrence
tt0648132	1	actor	["Mike Hammer"]	Mike
tt0648132	2	actress	["Velda"]	Velda
tt0648132	3	actor	["Captain Pat Chambers"]	Captain,Pat
tt0648132	4	actor	["Special Prosecutor Lawrence D. Barrington"]	Lawrence
tt0648133	1	actor	["Mike Hammer"]	Mike
tt0648133	2	actor	["Nick Farrell"]	Nick,Farrell
tt0648133	3	actress	["Velda"]	Velda
tt0648133	4	actor	["Dept. Mayor Barry Lawrence"]	Barry,Lawrence
tt0648134	1	actor	["Mike Hammer"]	Mike
tt0648134	2	actor	["Nick Farrell"]	Nick,Farrell
tt0648134	3	actress	["Velda"]	Velda
tt0648134	4	actor	["Deputy Mayor Barry Lawerence"]	Barry,Lawerence
