tt0855125	4	nm0750004	actress	["Henrietta 'Jenny' Schefer"]	Henrietta
tt0855125	9	nm0456047	actor	["Alexander Schefer"]	Alexander
tt0855126	3	nm0045339	actor	["Felix Schefer"]	Felix
tt0855126	4	nm0750004	actress	["Henrietta 'Jenny' Schefer"]	Henrietta
tt0855126	8	nm0456047	actor	["Alexander Schefer"]	Alexander
tt0855126	9	nm0216874	actress	["Lisbeth Schefer"]	Lisbeth
tt0855127	3	nm0045339	actor	["Felix Schefer"]	Felix
tt0855127	4	nm0750004	actress	["Henrietta 'Jenny' Schefer"]	Henrietta
tt0855127	8	nm0456047	actor	["Alexander Schefer"]	Alexander
tt0855127	9	nm0216874	actress	["Lisbeth Schefer"]	Lisbeth
tt0855128	3	nm0045339	actor	["Felix Schefer"]	Felix
tt0855128	4	nm0750004	actress	["Henrietta 'Jenny' Schefer"]	Henrietta
tt0855128	8	nm0456047	actor	["Alexander Schefer"]	Alexander
tt0855128	9	nm0216874	actress	["Lisbeth Schefer"]	Lisbeth
tt0855129	10	nm0216874	actress	["Lisbeth Schefer"]	Lisbeth
tt0855129	3	nm0045339	actor	["Felix Schefer"]	Felix
tt0855129	4	nm0750004	actress	["Henrietta 'Jenny' Schefer"]	Henrietta
tt0855129	9	nm0456047	actor	["Alexander Schefer"]	Alexander
tt0855130	10	nm0216874	actress	["Lisbeth Schefer"]	Lisbeth
tt0855130	3	nm0045339	actor	["Felix Schefer"]	Felix
tt0855130	4	nm0750004	actress	["Henrietta 'Jenny' Schefer"]	Henrietta
tt0855130	9	nm0456047	actor	["Alexander Schefer"]	Alexander
tt0855132	3	nm0477404	actress	["Matmor","Hedvig Eleonora"]	Eleonora
tt0855132	4	nm0722209	actor	["Mats Hansson","Karl XI"]	Karl
tt0855132	9	nm1559894	actor	["Karl XII"]	Karl
tt0855144	4	nm0782841	actor	["Young Yamane"]	Young
tt0855147	4	nm0848408	actress	["Sara"]	Sara
tt0855148	4	nm0848408	actress	["Sara"]	Sara
tt0855167	1	nm0824272	actor	["Hauptkommissar Ernst Bienzle"]	Ernst
tt0855213	2	nm0165138	self	["Himself - Head Judge","Himself - Judge"]	Judge,Judge
tt0855213	5	nm0104476	self	["Herself - Judge"]	Judge
tt0855213	7	nm0205823	self	["Himself - Judge"]	Judge
tt0855213	8	nm0962559	self	["Herself - Judge"]	Judge
tt0855217	1	nm0667326	actor	["Yakko Warner"]	Warner
tt0855217	2	nm0363641	actor	["Wakko Warner"]	Warner
tt0855217	3	nm0534134	actress	["Dot Warner","Miss Flamiel"]	Dot
tt0855218	1	nm0667326	actor	["Yakko Warner"]	Warner
tt0855218	2	nm0363641	actor	["Wakko Warner","Jim Morrison"]	Warner,Jim
tt0855218	3	nm0534134	actress	["Dot Warner","Tippi Hedren"]	Dot
tt0855219	1	nm0667326	actor	["Yakko Warner"]	Warner
tt0855219	2	nm0363641	actor	["Wakko Warner","Death"]	Warner
tt0855219	3	nm0534134	actress	["Dot Warner","Marita Hippo","Gina Embryo"]	Dot,Marita,Gina
tt0855286	1	nm0111873	actor	["Tom Baxter"]	Tom
tt0855286	2	nm0904529	actor	["Geoff Reynolds"]	Geoff
tt0855286	3	nm0492390	actress	["Mrs. Baxter"]	Baxter
tt0855286	4	nm0663698	actress	["Mrs. Reynolds"]	Reynolds
tt0855290	1	nm0431918	actor	["Beavis","Butt-Head","Tom Anderson"]	Tom
tt0855291	1	nm0431918	actor	["Beavis","Butt-Head","Tom Anderson"]	Tom
tt0855291	3	nm0919498	actor	["Stewart Stevenson"]	Stewart
tt0855291	4	nm0001302	archive_footage	["Nigel Tufnel"]	Nigel
tt0855307	3	nm0368579	actor	["Grant Gainway"]	Grant
tt0855313	2	nm0338425	self	["Jones","Himself - Studio Voiceover"]	Jones
tt0855322	10	nm0945189	actor	["Tam Sing"]	Sing
tt0855324	7	nm0541181	actress	["Sarah (2005)"]	Sarah
tt0855324	8	nm2356049	actor	["Jean Paul"]	Jean
tt0855324	9	nm2354519	actor	["Tong Jim"]	Jim
tt0855325	10	nm1977820	actor	["Dong Bo"]	Bo
tt0855325	5	nm0160920	actor	["Wong Kai-yip"]	Wong
tt0855326	2	nm0150987	actor	["Lee See"]	Lee
tt0855326	6	nm3592022	actor	["Tin Dan"]	Dan
tt0855327	2	nm0381659	actress	["Wing"]	Wing
tt0855342	1	nm1081836	actor	["Cory Baxter"]	Cory
tt0855342	2	nm1591666	actor	["Newt Livingston"]	Newt
tt0855342	4	nm2202521	actress	["Sophie Martinez"]	Sophie
tt0855344	1	nm0001597	actor	["Jason Gideon"]	Jason
tt0855344	2	nm0004959	actor	["Aaron Hotchner"]	Aaron
tt0855344	3	nm0322164	actress	["Elle Greenaway"]	Elle
tt0855344	4	nm0005245	actor	["Derek Morgan"]	Derek
tt0855345	1	nm0005007	actress	["Dr. Jordan Cavanaugh"]	Jordan
