name	sex	dramaRatio	actionRatio	comedyRation	total
Grant	M	0.285790011592625	0.463855803153415	0.25035418525396	298
Isaac	M	0.342316456064376	0.427029609115446	0.230653934820178	297
Douglas	M	0.317047746452868	0.383466428233643	0.299485825313489	297
Rosie	F	0.281764096588635	0.294510885647578	0.423725017763787	297
Angelo	M	0.372240193588296	0.325314153802154	0.30244565260955	296
Fritz	M	0.315784056717126	0.280800326936075	0.403415616346798	295
Mariana	F	0.521277931785972	0.191669074934778	0.28705299327925	294
Buck	M	0.192217078767569	0.561229141818771	0.24655377941366	294
Josef	M	0.420979066282738	0.129944538043738	0.449076395673524	293
Amelia	F	0.439954366994125	0.240045646903768	0.319999986102107	292
Hugh	M	0.425641510788372	0.275424799870819	0.298933689340809	291
Ernesto	M	0.408740226599876	0.237973053839152	0.353286719560972	291
Jordan	M	0.37617007529316	0.249316757272493	0.374513167434347	291
Alexandra	F	0.431091684150415	0.262542594728291	0.306365721121294	290
Lenny	M	0.319719645352636	0.259241614017522	0.421038740629842	289
Ross	M	0.31234558238945	0.374631042616956	0.313023374993593	288
Wanda	F	0.311294920308949	0.252292832463164	0.436412247227887	288
Calvin	M	0.309583944718235	0.319484044955031	0.370932010326734	287
Alejandro	M	0.431339153632302	0.328969568208192	0.239691278159505	286
Juliette	F	0.441040651460269	0.150525454395268	0.408433894144463	286
Lara	F	0.330551689774197	0.420825810673437	0.248622499552367	286
Graham	M	0.366044965283033	0.237761402304941	0.396193632412026	286
Wilson	M	0.30146208300192	0.405719991861186	0.292817925136894	285
Liam	M	0.397462347533252	0.196724591010401	0.405813061456347	284
Taylor	M	0.332850630384743	0.411886345643529	0.255263023971727	284
Arturo	M	0.371111645353399	0.254217978285687	0.374670376360914	284
Jess	F	0.343394806546462	0.272633851979682	0.383971341473856	284
Jamie	F	0.336280808111683	0.278792816336004	0.384926375552313	284
Bonnie	F	0.274685883915483	0.379266298134622	0.346047817949895	284
Camille	F	0.425388210560505	0.200084599382452	0.374527190057043	282
Regina	F	0.380260210126103	0.278224020844616	0.341515769029281	282
Bo	M	0.275146411408053	0.43880526049909	0.286048328092858	282
Nadia	F	0.372182872012029	0.372277497521732	0.255539630466239	281
Candy	F	0.242308898600432	0.271098076259949	0.486593025139619	281
Arjun	M	0.231763771860545	0.628780427311414	0.139455800828041	280
Mac	M	0.23487903775321	0.455718253697813	0.309402708548978	280
Madeleine	F	0.44934225562523	0.227609380648914	0.323048363725856	279
Sophia	F	0.402838261301012	0.32548378099808	0.271677957700907	279
Meg	F	0.403434243418724	0.231382802463446	0.36518295411783	279
Mercedes	F	0.415343884433006	0.24082134624751	0.343834769319484	278
Joy	F	0.32898713468814	0.310621037606335	0.360391827705525	278
Shane	M	0.291856000732103	0.418117591172256	0.290026408095641	278
Isabella	F	0.248845897395358	0.481956471711807	0.269197630892835	278
Freddie	M	0.267891943080545	0.296613598687374	0.435494458232081	278
Barney	M	0.288804668880235	0.401156887116814	0.310038444002951	277
Dora	F	0.409167721688216	0.241802647404327	0.349029630907457	276
Pauline	F	0.376051011548386	0.223554733371384	0.40039425508023	276
Rocky	M	0.246223956287789	0.468245240085589	0.285530803626622	276
Alison	F	0.360053047229183	0.296368984529748	0.343577968241069	275
Marcos	M	0.376172850352313	0.367569810140794	0.256257339506893	274
Jo	M	0.339591684557902	0.375308585882976	0.285099729559122	274
German	M	0.296436081042451	0.522866170054389	0.18069774890316	274
Vic	M	0.303284403199143	0.400938967563018	0.295776629237839	274
Mimi	F	0.294469036072153	0.268864130175866	0.436666833751981	274
Wong	M	0.145214908008494	0.662456254271118	0.192328837720389	274
Margarita	F	0.395151710976393	0.242860503815056	0.36198778520855	273
Marilyn	F	0.336192186637446	0.229897516801881	0.433910296560673	273
Ahmed	M	0.415299993627811	0.348059525051398	0.236640481320792	272
Mara	F	0.383164509685592	0.30277692250229	0.314058567812118	271
Alfredo	M	0.36804933418993	0.264548704101226	0.367401961708844	271
Erica	F	0.351947023786359	0.30625080430862	0.341802171905021	271
Enrique	M	0.375509921408152	0.266162502017683	0.358327576574165	270
Troy	M	0.290070321163855	0.385103856344906	0.324825822491239	270
Violet	F	0.299041371508402	0.328198259630024	0.372760368861573	270
Zack	M	0.213323325423589	0.437188125012804	0.349488549563607	270
Pat	F	0.364598842980508	0.316783565959041	0.318617591060451	269
Eleanor	F	0.408575237664681	0.286404960949492	0.305019801385828	268
Gene	M	0.297382450804031	0.388544752608283	0.314072796587686	268
Pam	F	0.312531112620121	0.246622183341951	0.440846704037928	268
Ernest	M	0.389579090572869	0.224246598042603	0.386174311384528	266
Cliff	M	0.321161072354878	0.363237242486054	0.315601685159069	265
Emilio	M	0.297758028027686	0.392147746366828	0.310094225605486	265
Art	M	0.29366068823638	0.385179383286569	0.321159928477051	265
Frances	F	0.477465526500005	0.216510836538395	0.3060236369616	264
Kenneth	M	0.326908614592907	0.331183931022703	0.341907454384391	264
Liza	F	0.416301403325026	0.187763541170892	0.395935055504082	262
Toni	M	0.373799274120907	0.209680852575947	0.416519873303146	262
Sammy	M	0.312119996179917	0.274041652565388	0.413838351254695	262
Mason	M	0.265577540624278	0.492317687233552	0.24210477214217	261
Rex	M	0.216421236618835	0.437932226774026	0.345646536607139	261
Rodrigo	M	0.467437563768294	0.300522572427634	0.232039863804071	260
Lars	M	0.322975878661252	0.334928890956389	0.342095230382359	260
Ernie	M	0.265730010712211	0.313649492370985	0.420620496916803	260
Darren	M	0.347412684737887	0.217877618985792	0.434709696276321	259
Federico	M	0.412983257402838	0.190174663398814	0.396842079198348	258
Erika	F	0.38438838765503	0.262160027548323	0.353451584796647	258
Timothy	M	0.262566266972534	0.432250183761864	0.305183549265602	258
Nico	M	0.332901141693102	0.310699330187739	0.356399528119158	257
Tiffany	F	0.223837350225989	0.262603947294937	0.513558702479074	256
Janice	F	0.374605519316733	0.214908864369311	0.410485616313956	255
Hal	M	0.277595247723547	0.456991670039912	0.265413082236541	255
Jeffrey	M	0.276384474143573	0.394600409950339	0.329015115906088	255
Helga	F	0.342845769328885	0.315019790080258	0.342134440590858	254
Elvira	F	0.36446036133129	0.163198236823887	0.472341401844823	254
Elliot	M	0.269726152200976	0.361808054297685	0.368465793501339	254
Mandy	F	0.265386551777848	0.238305317801548	0.496308130420605	254
Cora	F	0.344911272249674	0.352730948460203	0.302357779290123	253
Bernie	M	0.27136195887196	0.328725927930207	0.399912113197834	253
Stuart	M	0.337271805996399	0.254861650575487	0.407866543428114	252
Nelson	M	0.307442464663501	0.348760266612241	0.343797268724258	252
Lloyd	M	0.297335136129664	0.368162287905378	0.334502575964959	252
Brown	M	0.237850092676859	0.441960096232509	0.320189811090632	252
Naomi	F	0.373072136517622	0.291162390729169	0.335765472753209	251
Herman	M	0.337425300684685	0.231452917119069	0.431121782196245	251
Crystal	F	0.276808302574025	0.359540089690069	0.363651607735905	251
Leonardo	M	0.32451939522819	0.367557554324399	0.307923050447411	250
Lilly	F	0.332699315209232	0.318023325926431	0.349277358864337	250
Jacqueline	F	0.346777182296893	0.241348721515073	0.411874096188034	250
Axel	M	0.328172505175539	0.309982130345278	0.361845364479182	250
