name	sex	total	realFreq	cinemaFreq	ratio	
James	M	5150472	1.47950831636849	0.428176833846333	0.775551624020286	True
John	M	5115466	1.46945260339252	1.01717971236934	0.590940845608011	True
Robert	M	4814815	1.38308854688964	0.431639926970292	0.762146275220891	True
Michael	M	4350824	1.24980395797815	0.511291068821357	0.709674344063908	True
Mary	F	4123200	1.18441740680283	0.504503406298397	0.70128652427936	True
William	M	4102604	1.17850106490563	0.268874550144203	0.814233052326956	True
David	M	3611329	1.03737896034436	0.614768291365262	0.627897397929206	True
Joseph	M	2603445	0.747857386411959	0.171769418948383	0.813218342541595	True
Richard	M	2563082	0.736262838538758	0.352958451193936	0.675953404031833	True
Charles	M	2386048	0.685408610949524	0.289514585163001	0.703038571328048	True
Thomas	M	2304948	0.662112081144588	0.326638943451845	0.669644900155562	True
Christopher	M	2022164	0.580880442619818	0.0681536726795198	0.894992156694125	True
Daniel	M	1907357	0.547901346475364	0.292285059662168	0.652118794678138	True
Elizabeth	F	1629679	0.46813644138073	0.182435745770178	0.719576475334535	True
Matthew	M	1590440	0.456864770196811	0.089347802598151	0.836423020911145	True
Patricia	F	1571692	0.451479278941781	0.098628892170362	0.82071000332359	True
Jennifer	F	1466281	0.421199248075344	0.14988267040496	0.737546111066149	True
George	M	1464186	0.420597444993453	0.425406359347165	0.497157864817487	False
Linda	F	1452249	0.41716846008246	0.196565165715932	0.679722346221091	True
Barbara	F	1434060	0.411943545401548	0.193240596316931	0.680691242556017	True
Anthony	M	1432718	0.411558046720929	0.106663268217948	0.794174293601704	True
Donald	M	1410998	0.405318828134453	0.0750798589274385	0.843713438547001	True
Paul	M	1386815	0.398372095948599	0.596483159670757	0.400432217348632	False
Mark	M	1349865	0.387757955673724	0.33384217714968	0.537358487111891	True
Edward	M	1288725	0.370195072415108	0.132151633610288	0.73693142201353	True
Andrew	M	1283910	0.368811930725703	0.142540912982166	0.721247442473209	True
Steven	M	1280424	0.367810553377984	0.0973821786457367	0.790662725485636	True
Kenneth	M	1272659	0.365580004007635	0.0386481192633862	0.904390325565067	True
Margaret	F	1246649	0.358108453573278	0.12522544736237	0.740913171784648	True
Joshua	M	1202454	0.345413137485373	0.0466824953109719	0.880941047524447	True
Kevin	M	1166731	0.335151461354402	0.186729981243888	0.642198465011103	True
Brian	M	1163937	0.334348865740654	0.182435745770178	0.646979144296068	True
Susan	F	1121440	0.322141311768763	0.20529216038831	0.61077145986068	True
Dorothy	F	1107096	0.318020899641488	0.0682921964044782	0.823220602398754	True
Ronald	M	1078011	0.309666034421062	0.0346309312395934	0.899415520049264	True
Sarah	F	1073895	0.308483685263515	0.401441754929367	0.434529695371534	False
Timothy	M	1068556	0.306950020989426	0.0358776447642188	0.895347871983003	True
Jessica	F	1044939	0.300165876175577	0.153761334703795	0.661264337059855	True
Jason	M	1028809	0.29553242333028	0.200305306289808	0.596026493499633	True
Helen	F	1018290	0.292510768619823	0.227040385206774	0.563006676946867	True
Nancy	F	1002010	0.287834227248376	0.137831106333582	0.676198422893078	True
Betty	F	999474	0.287105743899605	0.158886712527255	0.643745740006005	True
Karen	F	985655	0.283136141613854	0.165674375050215	0.63085897299902	True
Jeffrey	M	973741	0.279713763610204	0.0369858345638858	0.883214772683246	True
Lisa	F	964973	0.277195095628334	0.267212265444703	0.509168529760467	True
Ryan	M	924877	0.265677245331679	0.133952442034747	0.664808580870209	True
Jacob	M	919481	0.264127207417654	0.10735588684274	0.711007341918262	True
Frank	M	910332	0.261499094579364	0.502009979249146	0.342496380911511	False
Gary	M	899959	0.258519379367692	0.124948399912453	0.674161933117277	True
Nicholas	M	895397	0.257208913659059	0.0479292088355973	0.842926185545902	True
