Name	Sex	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	Total
Michael	M	0.0202636881534825	0.0209944148219284	0.0210736229918761	0.021165300214131	0.0212595812541797	0.0223437264291047	0.0230148166945462	0.0242833116846778	0.0242702010964593	0.0245117174858287	0.0236465396322025	0.0226042472364122	0.022714208778586	0.02248483137205	0.0222282594216765	0.0226675629406174	0.0220642916899098	0.0212819938152845	0.0211570037564566	0.0203560360351696	0.0199425931554807	0.0198789771685907	0.0194511218862468	0.0196356963936392	0.0194207269870578	0.0181907611246961	0.0180560543394291	0.0176581253539074	0.0173638834581346	0.0170107965039694	0.0165229390492312	0.0156085939323565	0.0141622979660413	0.0131457396925993	0.0119647284003963	0.0113078478408653	0.0105214457588139	0.0103586433344304	0.00995728435424914	0.009183929639703	0.00847917685151634	0.00793301850004183	0.00756040751147873	0.00713637025124665	0.00666621097376597	0.00619780718604145	0.00572537043389565	0.00550499786304831	0.00525092210134685	0.00496247285512934	0.00469883761887989	0.00459731527084154	0.00442519330429957	0.00425891661695044	0.00417713769214766	0.0039073523993768	0.00384810378848104	0.00354707623520959	3039687
David	M	0.0206837270666576	0.0204727064395239	0.0201524868198474	0.0198227186027249	0.019305519831267	0.0187149633938394	0.0191096748429226	0.0196775970286852	0.0188598220236552	0.0183253912660753	0.0171183283343775	0.0154755089822976	0.0147507958164248	0.0136229324997713	0.013751768265388	0.0129712474875079	0.0129488172618387	0.0127613268934396	0.0128231138643618	0.0126455483774797	0.0121708665054258	0.0117539348898092	0.0115321764000201	0.0113205226020597	0.0110329661507761	0.0107937753550584	0.0104444171343674	0.01020446381828	0.00956092521100071	0.00916234146529298	0.00854013371831682	0.00781007459821705	0.00739779948731783	0.00717006581094224	0.00669077728493488	0.0062911204088327	0.00631122197960597	0.00603674852040072	0.00567864900314296	0.00550597055628691	0.00523202399949816	0.00516965209486908	0.00499753482428731	0.00489793211579773	0.00481489309156468	0.00471472700184591	0.00445922166128838	0.00439082855888835	0.00415601430129397	0.00404467090431535	0.0038464247974639	0.0036205671875077	0.00343244224977551	0.00339481649900613	0.00329923537278113	0.00319381937258434	0.00303561378035614	0.00285480561294712	2094580
James	M	0.0184966361983999	0.0183363589199091	0.0179808655458395	0.0180173694443581	0.0187880034981223	0.0186713895559026	0.0187531972216036	0.0181727945616221	0.017965737718697	0.0172348373158737	0.0171219320178964	0.0159127887583265	0.0149772857912214	0.0142135048180361	0.0136011306373583	0.0131103244798686	0.0126216288972236	0.012608031064597	0.0125742375880045	0.0118320041738093	0.0114166287080092	0.0110740053573359	0.011082019258401	0.0104980729612172	0.0102774799158213	0.0100485555937025	0.00957121335391526	0.00905448142175001	0.00880012324450361	0.00850721948069484	0.00818705783256458	0.00783292834272605	0.00742227740459081	0.00696392575562136	0.00666387211650584	0.0062083640710765	0.00580167300997542	0.00562845001888381	0.00535366525912898	0.00502391716047801	0.00475929698664321	0.00456240105777144	0.00453876053855926	0.0044450339226273	0.00431075008360917	0.00419911067245115	0.00410707798666914	0.00399523586213044	0.00386388607457598	0.00372309951835054	0.00375999132955808	0.00362741291279039	0.00367569913068538	0.00372583035265072	0.00390118688606018	0.00401199668066171	0.00406299754062998	0.00401319572140098	2006605
John	M	0.0183170665541428	0.0193039347439426	0.0194380301117606	0.0198636401871177	0.0212276866093935	0.0197326055583119	0.0187123418364323	0.0181504095572187	0.0180329198230417	0.0169080451007777	0.0162221199638523	0.0150079313403747	0.0137363624882978	0.0129829801167358	0.0123799133603407	0.0116215383902169	0.0112054601247006	0.0107747766350716	0.0107224720786021	0.0106503064239638	0.010242015109723	0.0100838868842403	0.00989233860483786	0.00957339467821947	0.00935025316673452	0.00882800950092136	0.0084938401871159	0.00819580940311058	0.0079602628530182	0.00776467851800896	0.00735840518026865	0.00713884214713241	0.006833244969788	0.00662964458483075	0.00650513162277447	0.00634629130067016	0.0060827751057081	0.00589798220535814	0.00560875710171067	0.0055100328040044	0.00531804655222932	0.00504750696988949	0.0046696477180931	0.00453292933025015	0.00430734548147752	0.00410332732605172	0.00383538092737239	0.00361291304697263	0.0033909286926969	0.00317482947805845	0.00313084238762294	0.00302361994285736	0.00290785111583137	0.00294283412741834	0.00289126104378122	0.00281211173515129	0.00273613127736131	0.00266023668041714	1922823
Christopher	M	0.00369658314592056	0.00416062434967601	0.00434274691380971	0.00463676915502738	0.00505092854570708	0.00679393352893758	0.00802060262268556	0.00866682571801374	0.00931197238371577	0.0102703659008433	0.0115802983849954	0.0140518006109099	0.0166008880824602	0.01601438583793	0.015987980564457	0.0154282743525469	0.0148974496770786	0.0147138813622491	0.0148881568916046	0.01523043707189	0.0142521331604219	0.0145216412435079	0.0168844564359642	0.0171371590718101	0.0172093169945697	0.0167036847599896	0.0159403982877894	0.0151173439817912	0.0143485626393168	0.0138350939845076	0.0132452811850796	0.0120947665181858	0.011056987716252	0.0101419846007807	0.00936299861330762	0.00892375519309676	0.0084747482559329	0.008028858979491	0.0073430008971727	0.00693371522072765	0.00659885619120193	0.00618022259278553	0.00580320028522163	0.00545951534893293	0.00513990164890119	0.00498828215691603	0.00497807703244073	0.00501050699210091	0.00456937446865518	0.00428394936836251	0.00386728804833771	0.0035584080019409	0.00325766985110378	0.00298269875264962	0.00280008906176996	0.00265812740414137	0.00247825877478259	0.00232777759135505	1918601
Robert	M	0.0174199404627938	0.0176076579061524	0.0173975040852649	0.0176862077336237	0.0180047841967179	0.0174113334449338	0.0170709335800768	0.0166061387929181	0.0172279183965319	0.0167788816284378	0.0158564846898892	0.0147570999698478	0.0136896012154114	0.0128258918569953	0.0121819136833235	0.0117006798215841	0.0111398906538462	0.0107716288767791	0.0105189605918593	0.0102250515114431	0.00995228095967615	0.00994512575516408	0.00981308357927099	0.00945614939936341	0.00910941505008859	0.00899308450635146	0.00881387429408997	0.00838640962178758	0.00820718505709128	0.00782191713461404	0.00730727877960775	0.00688899165941039	0.00627259650288683	0.0059541843778205	0.00553035737059018	0.00507544892582	0.00484702286827254	0.00449790457346738	0.00422179719001922	0.0039374013043065	0.00363597479036304	0.00338451579347157	0.00321837923663599	0.00299818077559013	0.002795702135026	0.00264419297845604	0.00250421712288499	0.00234751716759635	0.00224813936986897	0.00205103314308118	0.00204676619611456	0.00190804055079063	0.00190277285450444	0.00184422004173414	0.00179449185958649	0.00165668705422824	0.00163620376636204	0.00155288566875739	1734326
Matthew	M	0.00166812015375591	0.00170883648403331	0.00180633886411544	0.00202940746303606	0.00231056124286229	0.00275535579003919	0.00310932498272278	0.00399984683944356	0.00468765352738603	0.00502615632232184	0.00559984698205366	0.00657230629394465	0.00729953012873347	0.00813544852343664	0.00895405848357902	0.00945458639495879	0.00987891394550617	0.0100646423642938	0.0108094212586965	0.0107167243290289	0.0109913175558863	0.012526082755981	0.0131312463223387	0.014500872986399	0.0142710919714894	0.0131928280655536	0.0131959230242042	0.0128956168330789	0.0124186706759035	0.0118044239726774	0.0113389245030109	0.0106914438918746	0.00982658176822225	0.00948960571270603	0.00905251296963644	0.00897919920816114	0.00879589025993579	0.00869372343128543	0.00846915795488138	0.00823688428849867	0.00756257346656859	0.00716460004420745	0.00673199070031868	0.00631478503388578	0.00599026650439809	0.00558744863357769	0.00514327086830737	0.00469052758295116	0.00447717706841811	0.00418907663672497	0.00382745820576042	0.00387714497110282	0.00382526923989347	0.00366452130832951	0.00348942499697672	0.0034529901832278	0.00345061878450619	0.00327411576174724	1521442
William	M	0.0118800002984804	0.0115942442039648	0.0111165796085184	0.0112352483371817	0.0113797006018828	0.0110677548359376	0.0110079368778545	0.0110808717191978	0.010937956882703	0.0108258551326658	0.0107861019786995	0.0103222498496031	0.00971234818889137	0.0092864348653747	0.00887808186332826	0.00846747088489392	0.00805516007023512	0.00779699729040966	0.00761970948892784	0.00742347815842684	0.00744715472645525	0.00717048134501162	0.00729801942261288	0.00733245043210372	0.00713941659833363	0.00689559496367089	0.0068416430179835	0.00671373317578528	0.00653098399852063	0.00641853032566952	0.00630018992698543	0.00612814171581292	0.00600646425338707	0.00589183828644288	0.00578138259203316	0.00550561800821609	0.00563301175253582	0.00552223723301623	0.00566505135694991	0.00560806838225318	0.005468122821148	0.00537198001524008	0.00538591375578754	0.00526030330231468	0.00529625145448531	0.0049583498611662	0.00479517482213203	0.00472733272625712	0.00468322042972139	0.00469488981921241	0.00461917793372531	0.00474792122706066	0.00462407224071912	0.00457288490670303	0.004547506960318	0.00430749478066315	0.00430855129308551	0.00420268894264756	1496667
Daniel	M	0.00624931247212278	0.00625083932251336	0.00633073571445919	0.00627060130226627	0.00626395390709399	0.00685239969123248	0.00669510431645776	0.00654113391828884	0.00651636816503476	0.00666932281231167	0.00652211275648524	0.00634769423044149	0.00703327716678855	0.00785341875753129	0.00784170813860898	0.00788864568811653	0.00814445316873529	0.00820809452340421	0.00833136962600511	0.00857361989002878	0.00867896033632387	0.0089599217387232	0.00930904442386728	0.0100340011308683	0.0104721573934435	0.0108016227237376	0.0102846813059304	0.00994922043955684	0.00939333217994672	0.00910562319974794	0.00855861009083288	0.00793949355588601	0.00758971677487295	0.00760940677826705	0.0075493212095057	0.00729757950002608	0.00688658997653003	0.0066028488752066	0.00629652604615531	0.00614455589747645	0.00590564675857757	0.00560851926164475	0.00570523564777912	0.00553635804062715	0.0054942421630642	0.00525975506532528	0.00507446118476108	0.00507009627173913	0.00483934475664216	0.00459634797640657	0.00429078494594521	0.00418383346376722	0.0039093681840819	0.00392872754865546	0.00376889282314178	0.00365712786148567	0.00353712378537124	0.0032822932965927	1419696
Jennifer	F	0.00174394379710845	0.00223706622121788	0.00272127960856793	0.00296984609695233	0.00333299038016359	0.00419411979330557	0.00524013471919403	0.00537092835914972	0.00794672547912383	0.00969473982478069	0.0127950169373125	0.0165426347781628	0.0202326802766359	0.0206968753355525	0.0207577335812386	0.0192671304773983	0.0195963754250895	0.0185604419956284	0.0177436183712276	0.0170456594546639	0.0169474155742847	0.0164920492763896	0.0162829164937121	0.0156929629152605	0.0144964476377795	0.0119532240774087	0.0101758472115552	0.00907223748287858	0.00755035033441443	0.00624291184290393	0.00562542267865893	0.00530823153359667	0.00464012774347976	0.00417798402984972	0.00376672358006628	0.00346484125668367	0.00321635646707595	0.00326583625740351	0.00290690480315096	0.00287417566838193	0.00248406663809836	0.00238490361092528	0.0022850385514938	0.00199054150676413	0.00171303865716207	0.00151899893909533	0.00133242868837612	0.00116374357881696	0.000965525812979866	0.000782568996325123	0.000709621481019861	0.000623508658747167	0.000526782637375762	0.000464354151831986	0.000411491349077499	0.000347820240643893	0.000317276253172763	0.000293827286516288	1412052
