Name	Sex	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	Total
Mark	M	11	9	13	11	13	18	21	18	9	16	17	18	32	20	25	21	18	15	13	20	33	11	16	20	25	28	33	35	29	25	28	31	22	33	34	34	38	45	52	48	41	69	78	80	58	121	100	99	111	128	138	148	151	116	122	139	111	30	3019
Laura	F	23	13	14	25	17	17	18	18	18	9	16	21	18	26	25	21	18	17	25	21	19	30	24	28	38	26	24	31	29	30	37	32	34	38	38	58	51	58	56	55	62	63	60	61	86	95	85	100	95	95	114	103	101	119	104	121	91	44	2987
Judge		1	1	0	0	0	6	0	2	0	2	5	4	6	0	1	1	0	0	7	1	2	0	0	4	5	4	4	2	1	1	5	3	0	1	9	1	14	4	6	15	17	47	78	90	123	236	195	198	185	228	230	238	226	212	165	128	152	114	2987
Harry	M	39	28	35	31	21	24	31	28	30	36	39	36	40	41	40	38	31	27	36	35	27	26	25	39	47	48	55	22	36	36	35	36	33	40	44	44	43	41	47	44	35	53	47	43	59	43	56	40	70	59	60	75	57	76	59	64	63	24	2980
Max	M	15	9	14	13	12	14	25	15	14	20	15	10	22	12	19	19	13	25	7	12	26	19	19	25	22	36	30	30	43	28	26	27	37	39	39	38	42	61	57	68	65	67	60	71	83	93	70	99	90	102	119	105	131	123	128	140	123	40	2942
Thomas	M	16	17	10	18	15	6	12	14	19	14	23	21	10	9	14	11	19	15	11	10	13	9	17	22	28	26	14	23	23	27	29	22	35	29	37	38	27	42	49	44	64	68	76	59	76	90	94	108	94	100	113	124	121	121	135	143	112	41	2887
Bob	M	12	11	23	23	14	17	21	13	28	16	15	19	24	18	27	17	12	20	24	17	25	22	21	23	22	29	26	22	36	24	28	31	39	40	39	35	51	48	40	48	50	57	40	59	71	69	80	92	67	73	84	84	83	75	87	73	68	32	2868
Henry	M	25	18	21	24	18	18	24	23	27	28	21	28	27	13	14	15	28	18	12	20	16	18	22	15	24	24	22	16	23	28	17	23	21	32	30	41	39	35	40	42	47	35	46	57	61	61	73	68	85	84	89	102	93	95	115	94	74	39	2845
Tony	M	18	13	9	10	13	21	23	13	24	12	23	9	25	21	17	25	22	27	24	34	13	14	19	31	32	27	29	28	38	34	25	37	45	34	40	39	47	49	44	56	50	56	49	48	72	72	95	94	93	97	96	97	103	97	105	79	79	28	2790
Charlie	M	21	16	15	24	21	15	14	20	16	8	14	24	30	32	23	20	21	19	13	14	23	12	21	24	26	27	31	37	29	21	33	31	24	31	37	35	40	43	23	52	41	55	62	46	61	70	84	67	87	110	104	105	101	101	113	116	81	32	2769
Alex	M	2	6	6	2	6	6	13	5	12	4	8	10	10	13	10	11	11	11	14	7	6	15	18	30	16	26	19	26	30	35	25	29	21	29	49	33	33	34	51	46	85	62	76	58	82	82	88	91	138	128	150	139	147	138	135	140	145	67	2762
Martin	M	16	14	21	27	23	15	11	20	27	19	19	14	15	15	24	23	20	21	17	15	19	21	27	33	33	28	29	38	33	28	29	30	28	35	39	35	36	37	63	36	53	53	60	59	75	80	69	72	84	81	93	76	98	97	79	98	91	32	2723
Charles	M	26	28	27	18	30	26	25	28	26	18	26	15	22	36	30	23	19	35	24	25	29	22	25	24	22	30	25	30	39	19	28	31	35	32	24	27	41	27	31	32	30	43	33	55	47	63	59	56	79	71	77	61	94	89	83	81	70	27	2655
Nick	M	9	6	10	5	11	10	10	11	14	8	9	10	15	11	13	11	11	15	11	21	14	12	23	16	16	19	23	20	26	31	34	34	45	34	48	46	57	41	58	47	61	60	61	62	59	81	67	86	84	93	106	108	101	99	93	90	103	27	2523
Daniel	M	8	9	11	9	12	10	11	8	13	5	14	15	5	9	9	12	16	13	11	10	13	12	12	16	11	15	13	15	25	21	21	22	32	33	28	22	47	32	56	45	37	42	61	65	63	78	73	89	104	110	112	144	138	112	146	114	122	47	2491
Johnny	M	29	15	12	14	16	22	19	22	16	13	15	23	15	15	22	19	15	13	18	13	9	18	12	21	11	21	20	19	20	24	27	21	26	23	41	36	36	44	48	42	42	51	50	41	65	47	56	69	73	69	85	81	74	82	89	58	57	29	2489
William	M	17	17	15	12	14	17	18	16	13	14	16	15	17	18	22	12	15	15	19	15	16	12	17	13	32	16	19	22	30	12	14	17	22	23	37	23	42	30	34	43	34	37	45	49	59	52	59	68	76	77	71	104	80	98	98	97	78	28	2463
Lisa	F	11	8	10	8	15	6	11	12	11	8	12	16	8	20	10	6	14	8	12	16	28	13	19	22	34	19	17	36	26	26	18	38	37	36	34	32	52	49	56	52	70	52	70	57	59	91	91	81	96	85	111	103	118	102	96	83	80	37	2433
Alice	F	4	6	11	4	13	9	6	14	14	11	12	24	16	16	20	24	16	16	10	11	15	21	20	14	17	12	33	24	25	19	20	22	18	33	30	22	29	43	34	34	32	38	44	47	44	71	63	71	72	76	99	92	100	94	111	99	98	34	2414
Billy	M	23	14	13	6	11	8	18	14	21	15	12	24	15	19	19	22	14	23	25	16	15	20	17	33	25	24	27	29	22	34	22	27	31	18	34	45	34	49	45	55	48	39	39	59	51	75	53	70	73	69	89	81	92	85	70	72	78	24	2404
Jimmy	M	8	7	10	8	12	11	8	2	14	11	12	12	9	14	12	14	13	12	13	10	9	15	7	21	18	15	18	18	17	17	25	24	21	39	37	41	41	39	50	49	54	56	56	53	57	67	59	59	87	75	87	69	79	70	83	88	62	36	2337
Chris	M	5	5	2	4	11	3	4	7	6	10	7	15	9	10	10	8	7	8	13	4	10	5	14	12	15	15	21	14	16	20	10	18	19	26	28	28	19	26	35	36	55	50	62	48	69	71	91	81	91	88	126	135	129	106	123	127	102	40	2255
Adam	M	6	9	9	8	8	11	6	9	11	14	12	12	9	13	4	10	11	7	14	11	5	10	16	15	12	11	10	11	13	12	10	18	24	24	21	26	30	28	39	31	22	41	45	38	66	73	89	87	86	103	126	128	128	111	125	108	100	53	2199
Jane	F	10	10	13	10	16	17	9	15	9	19	13	21	14	13	14	18	16	14	13	16	17	13	15	20	24	20	25	21	24	19	21	16	20	25	25	27	25	36	39	38	48	43	33	37	52	57	53	55	58	57	70	76	79	57	72	66	70	27	2191
Dan	M	14	11	7	14	16	13	13	20	14	12	9	18	11	14	9	22	11	19	9	9	9	8	14	18	15	14	14	15	11	11	14	17	19	21	18	20	24	21	31	26	42	40	32	50	34	56	63	55	73	73	93	92	63	74	77	75	61	27	2133
Kate	F	4	7	2	9	10	3	8	5	7	4	7	9	11	9	25	14	9	8	21	17	14	19	11	27	22	20	24	28	25	22	23	21	17	24	26	35	37	34	27	43	40	47	48	51	54	60	72	69	62	70	98	74	85	113	103	78	80	37	2099
