Name	Sex	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	Total
John	M	70	69	67	62	59	46	70	60	78	59	76	67	76	60	73	74	54	66	64	55	61	58	69	63	84	83	74	89	96	89	83	94	90	114	122	109	129	143	136	140	129	153	180	148	197	235	222	226	286	247	322	296	318	302	347	275	258	111	9281
Jack	M	25	20	17	28	23	18	19	24	28	30	30	33	34	46	28	34	41	37	37	40	29	43	37	44	51	62	56	63	70	61	62	86	82	90	95	94	102	108	94	135	116	114	107	141	163	167	157	159	196	193	224	225	225	197	208	192	148	59	5757
David	M	28	18	20	23	23	19	23	25	31	19	37	35	37	39	32	32	31	27	33	38	47	38	37	46	53	61	53	68	59	43	39	53	70	56	62	79	71	88	96	91	106	106	108	110	143	146	171	173	201	208	200	222	258	223	239	208	187	92	5331
Paul	M	53	34	36	40	42	29	30	25	48	42	55	42	44	56	43	42	54	57	37	42	37	39	42	51	49	52	39	51	57	52	52	57	60	61	82	74	81	65	71	87	100	124	110	108	130	132	147	128	166	155	181	191	200	167	161	149	144	62	5307
Tom	M	38	26	18	21	26	36	41	36	30	27	33	27	33	32	37	38	38	31	39	34	24	31	30	43	39	34	45	45	40	57	42	49	52	64	59	63	47	75	85	89	85	75	80	101	123	119	113	135	155	163	150	184	185	161	159	171	123	62	4949
Frank	M	46	33	20	28	34	24	31	24	33	25	35	42	40	42	38	33	27	35	34	31	29	40	35	45	54	54	30	76	55	54	61	46	57	52	74	66	70	73	93	62	83	83	98	91	106	118	112	138	117	141	159	166	152	158	145	134	145	47	4625
Peter	M	34	37	24	37	32	30	42	29	41	48	36	37	33	45	27	42	30	35	41	41	31	45	35	41	43	44	50	41	46	44	51	52	51	54	80	64	72	63	74	76	91	66	76	98	93	152	100	110	139	132	159	144	168	144	147	147	127	75	4559
Michael	M	16	11	8	14	10	13	13	9	14	28	21	18	14	24	20	19	23	20	27	15	25	25	29	36	45	39	39	52	54	72	40	50	63	58	83	60	73	90	86	82	77	101	88	113	107	137	126	161	189	174	219	197	207	202	189	196	164	57	4514
Mary	F	33	24	26	26	21	25	22	21	32	22	40	30	27	34	25	33	26	30	29	35	36	34	38	32	47	30	46	31	39	32	30	48	47	50	61	48	36	71	56	67	64	74	58	77	89	106	101	100	106	130	135	129	126	147	126	140	111	53	4508
Joe	M	42	34	28	48	40	22	35	35	26	30	36	30	37	45	44	30	31	23	29	32	35	30	19	31	36	35	46	32	45	35	45	42	48	41	59	60	53	57	63	57	79	63	72	92	97	99	105	125	117	115	133	140	130	118	111	110	110	39	4393
