Name	Sex	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	Total
John	M	0.0131455399061033	0.0154258886653253	0.0157721280602637	0.01352825660048	0.0120138464671146	0.00946696851203951	0.0139054429876838	0.0116890707188778	0.0150346954510409	0.0117017056723522	0.0136151916875672	0.0114745675629389	0.0127709628633843	0.00992555831265509	0.0123896809232858	0.0123973864969007	0.00952213013577852	0.0113871635610766	0.0107077128994479	0.00944043940954343	0.0105244996549344	0.00965540203096388	0.0108320251177394	0.00863486842105263	0.010612760581175	0.010314402883062	0.00907752698724239	0.0108338405356056	0.0106856634016028	0.0105425254678986	0.0100654862963861	0.0106830321627458	0.0094577553593947	0.0113320079522863	0.0105866018743492	0.00896676538334979	0.00995600833526279	0.0104815656380561	0.009201001285434	0.00881001824932352	0.00791799656273018	0.00884904569115095	0.00996457041629761	0.00737713089422789	0.00841305090536385	0.00886959803736554	0.00851226993865031	0.00819018627237805	0.0092442950416963	0.00774561761108846	0.00901910257128452	0.00803300043421624	0.00851565219719894	0.00852216609758162	0.00958351745470614	0.00757387975433088	0.00785651207405829	0.00793821068440249	9281
Jack	M	0.00469483568075117	0.00447127207690588	0.00400188323917137	0.00610953523892647	0.00468336387701079	0.00370446593949372	0.00377433452522845	0.00467562828755114	0.0053970701619121	0.00595001983339944	0.0053744177714081	0.00565165268025347	0.00571332549151403	0.0076095947063689	0.00475220638153428	0.00569609649857598	0.00722976547346147	0.00638371290545204	0.00619039651999331	0.00686577411603158	0.00500345065562457	0.00715831529881805	0.00580847723704867	0.00603070175438596	0.00644346178142767	0.00770473468373307	0.00686947988223749	0.00766889835666464	0.00779162956366874	0.0072257758824923	0.0075187969924812	0.00977383793612911	0.00861706599411517	0.00894632206759443	0.00824366539396043	0.0077328068443567	0.00787219263718453	0.00791614747489555	0.00635951559434409	0.0084953747404191	0.00712005892462558	0.00659340659340659	0.00592338352524358	0.00702821254112252	0.0069610522719508	0.0063030760520853	0.00601993865030675	0.00576212220047836	0.0063352511474562	0.00605224372040516	0.0062741583104588	0.00610616587060356	0.00602522561122567	0.0055591613285549	0.00574458683163942	0.0052879451375692	0.00450683638356832	0.00421940928270042	5757
David	M	0.00525821596244131	0.00402414486921529	0.00470809792843691	0.00501854680340388	0.00468336387701079	0.00391026960279893	0.0045689312673818	0.00487044613286577	0.00597532767925983	0.00376834589448632	0.00662844858473665	0.00599417708511731	0.00621744244664762	0.00645161290322581	0.00543109300746775	0.00536103199865974	0.00546640804090989	0.0046583850931677	0.00552116446377782	0.00652248541023	0.00810904071773637	0.00632595305476944	0.00580847723704867	0.00630482456140351	0.00669614655716993	0.00758046476947931	0.00650147203140334	0.00827754108338405	0.00656723063223508	0.00509357972044539	0.00472956585010914	0.00602341175133538	0.00735603194619588	0.00556660039761431	0.00538007636237418	0.00649884830536361	0.00547966350235394	0.00645019423880378	0.00649482443677694	0.00572651186206029	0.00650626074146821	0.00613071139386929	0.00597874224977857	0.00548300269165587	0.00610693542876665	0.00551047367427817	0.00655674846625767	0.0062694788722186	0.00649686469713621	0.00652262535670607	0.00560192706290964	0.00602475032566218	0.00690892536753876	0.00629285774755199	0.00660075121520106	0.00572860723236663	0.00569444867383294	0.00657941786454981	5331
Paul	M	0.00995305164319249	0.00760116253074	0.00847457627118644	0.00872790748418067	0.00855222968845449	0.005968306235851	0.00595947556615018	0.00487044613286577	0.00925212027756361	0.00833002776675922	0.00985309924758151	0.00719301250214078	0.00739371534195933	0.00926385442514475	0.00729803122878479	0.00703635449824091	0.00952213013577852	0.0098343685300207	0.00619039651999331	0.00720906282183316	0.00638371290545204	0.00649242550357916	0.00659340659340659	0.00699013157894737	0.00619077700568541	0.00646203554119548	0.00478410206084396	0.00620815581253804	0.00634461264470169	0.00615967780146885	0.00630608780014553	0.00647800886464371	0.00630517023959647	0.00606361829025845	0.00711558486636584	0.00608752879236591	0.00625144709423478	0.00476434801729825	0.00480346390636628	0.00547479705493676	0.00613798183157378	0.00717177559282822	0.00608945969884854	0.00538331173362576	0.00555175948069696	0.00498207208907341	0.00563650306748466	0.00463868957019642	0.00536556984937617	0.00486061024177616	0.00506974399193322	0.00518345636126791	0.00535575609886726	0.00471258853740441	0.00444653115333628	0.0041036657578011	0.00438502999482323	0.004433955517414	5307
Tom	M	0.00713615023474178	0.00581265369997764	0.00423728813559322	0.00458215142919485	0.00529423742618611	0.00740893187898745	0.00814461660707191	0.00701344243132671	0.00578257517347725	0.0053550178500595	0.00591185954854891	0.00462407946566193	0.0055452865064695	0.00529363110008271	0.00627970128988459	0.00636622549840844	0.006700758243696	0.00534851621808144	0.00652501254810105	0.00583590799862684	0.0041407867494824	0.00516064591310138	0.00470957613814757	0.00589364035087719	0.0049273531269741	0.00422517708462781	0.00552011776251227	0.00547778454047474	0.00445235975066785	0.00675195451314854	0.00509337860780985	0.00556881463802705	0.00546448087431694	0.00636182902584493	0.00511975008677543	0.00518262586377098	0.00362738288183993	0.00549732463534413	0.00575062580339625	0.00560065445849852	0.00521728455683771	0.00433776749566223	0.00442869796279894	0.00503439338052039	0.00525281858558251	0.00449141347424042	0.00433282208588957	0.00489236790606654	0.00501002004008016	0.00511148044780332	0.00420144529718223	0.00499348675640469	0.00495407439145221	0.00454327397917431	0.00439129474149359	0.00470957613814757	0.00374554645391151	0.004433955517414	4949
Frank	M	0.00863849765258216	0.0073775989268947	0.00470809792843691	0.00610953523892647	0.0069232335573203	0.00493928791932496	0.00615812475168852	0.00467562828755114	0.00636083269082498	0.0049583498611662	0.00627015406664278	0.00719301250214078	0.00672155940178121	0.00694789081885856	0.00644942294636796	0.00552856424861786	0.00476106506788926	0.00603864734299517	0.00568847247783169	0.00532097493992448	0.00500345065562457	0.00665889795238888	0.00549450549450549	0.00616776315789474	0.00682248894504106	0.00671057536970299	0.00368007850834151	0.00925136944613512	0.0061219946571683	0.00639658848614072	0.00739752607324764	0.0052278668030458	0.00598991172761665	0.00516898608349901	0.00642138146476918	0.0054294175715696	0.00540248514316586	0.00535072931173496	0.00629186117312766	0.0039015795104147	0.00509452492020624	0.00480046269519954	0.0054251550044287	0.00453593859036985	0.00452681926887598	0.00445367050386865	0.00429447852760736	0.00500108719286801	0.00378175706251212	0.00442158738122864	0.00445353201501316	0.0045049934867564	0.00407037463513912	0.00445861670005926	0.00400463985859479	0.0036905450439285	0.0044154815920095	0.0033612243438461	4625
Peter	M	0.0063849765258216	0.00827185334227588	0.00564971751412429	0.00807331442286712	0.00651598452453675	0.0061741098991562	0.00834326579261025	0.00564971751412429	0.00790285273708558	0.00952003173343911	0.00644930132568972	0.00633670148998116	0.0055452865064695	0.00744416873449132	0.00458248472505092	0.00703635449824091	0.00529007229765473	0.00603864734299517	0.0068596285762088	0.00703741846893237	0.00534851621808144	0.00749126019643749	0.00549450549450549	0.00561951754385965	0.00543272267845862	0.0054678762271654	0.00613346418056919	0.00499087035909921	0.00512021371326803	0.00521203506278133	0.00618481688091196	0.0059097624730083	0.005359394703657	0.00536779324055666	0.00694203401596668	0.00526488976637052	0.00555684186154202	0.00461775269368907	0.00500642717001556	0.00478258133534705	0.00558556346673214	0.00381723539618276	0.00420726306465899	0.00488485694347523	0.00397164332080629	0.00573693149650877	0.00383435582822086	0.00398637384938755	0.00449285668110414	0.00413935839944809	0.00445353201501316	0.00390794615718628	0.0044988351230485	0.00406354939752236	0.00405987627043747	0.00404858299595142	0.0038673528426566	0.00536365586783952	4559
Michael	M	0.00300469483568075	0.00245919964229823	0.00188323917137476	0.00305476761946323	0.00203624516391774	0.00267544762296769	0.00258243941199841	0.00175336060783168	0.00269853508095605	0.00555335184450615	0.00376209243998567	0.00308271964377462	0.00235254579062342	0.00397022332506203	0.00339443312966735	0.00318311274920422	0.00405572209486863	0.00345065562456867	0.00451731637945458	0.00257466529351184	0.00431331953071084	0.00416181122024305	0.00455259026687598	0.00493421052631579	0.00568540745420088	0.00484652665589661	0.00478410206084396	0.00632988435788192	0.0060106856634016	0.00852878464818763	0.00485083676934271	0.00568246391635413	0.00662042875157629	0.00576540755467197	0.00720236029156543	0.00493583415597236	0.00563402022073011	0.00659678956241296	0.00581828022461268	0.00516015354603234	0.00472624601031181	0.00584152689415847	0.00487156775907883	0.00563253912870103	0.00456952511103519	0.00517078694093225	0.00483128834355828	0.00583460172501268	0.0061089921779042	0.00545642698109066	0.00613411013388606	0.00534628745115067	0.00554320756232761	0.00570025679374665	0.00521984091913389	0.00539811066126856	0.00499406193854868	0.00407637845955804	4514
Mary	F	0.00619718309859155	0.00536552649228706	0.00612052730696798	0.00567313986471743	0.00427611484422724	0.00514509158263017	0.00437028208184346	0.00409117475160725	0.00616808018504241	0.00436334787782626	0.00716589036187746	0.0051378660729577	0.00453705259620232	0.00562448304383788	0.00424304141208418	0.00552856424861786	0.0045847293246341	0.005175983436853	0.00485193240756232	0.00600755235152763	0.0062111801242236	0.00566006325953055	0.00596546310832025	0.0043859649122807	0.00593809222994315	0.00372809742761278	0.00564278704612365	0.00377358490566038	0.00434105075690116	0.00379057095475006	0.00363812757700703	0.00545516535969997	0.00493905002101723	0.00497017892644135	0.00529330093717459	0.00394866732477789	0.00277842093077101	0.00520413398812578	0.00378864758811988	0.00421622301931911	0.00392830837220722	0.00427993059572007	0.00321080602302923	0.00383810188415911	0.00380081995216946	0.00400075485940744	0.00387269938650307	0.00362397622671595	0.00342620725321611	0.0040766408479413	0.00378130076746401	0.00350086843247937	0.00337412634228637	0.00414820667663741	0.00347989394608926	0.00385579332947754	0.00338012728767624	0.00379031681327326	4508
Joe	M	0.00788732394366197	0.00760116253074	0.00659133709981168	0.0104734889810168	0.00814498065567094	0.00452768059271455	0.00695272149384188	0.00681862458601208	0.00501156515034695	0.00595001983339944	0.00644930132568972	0.0051378660729577	0.00621744244664762	0.00744416873449132	0.00746775288526816	0.00502596749874351	0.00546640804090989	0.00396825396825397	0.00485193240756232	0.00549261929282527	0.00603864734299517	0.00499417346429166	0.00298273155416013	0.00424890350877193	0.00454832596336071	0.00434944699888157	0.00564278704612365	0.00389531345100426	0.00500890471950134	0.00414593698175788	0.00545719136551055	0.00477326968973747	0.00504413619167718	0.00407554671968191	0.00511975008677543	0.00493583415597236	0.00409045303696843	0.00417796672286154	0.00426222853663487	0.00358693600151029	0.00484900564694329	0.00364372469635628	0.00398582816651904	0.00458578406938491	0.00414246668944312	0.00373655406680506	0.0040260736196319	0.00452997028339494	0.00378175706251212	0.00360625921164038	0.00372528149683491	0.00379939209726444	0.00348124146426372	0.00332985297852527	0.00306562085726911	0.00302955190173235	0.00334967569048997	0.00278910105127655	4393
