Name	Sex	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	Total
Leonard	M	0.000105994525757473	0.00010552712112803	0.000100828601591102	9.99478397211455E-05	9.6890105875841E-05	8.91335443327966E-05	0.000101875580372447	8.46516362401255E-05	0.000105129108299239	8.92682576862434E-05	9.25910199859634E-05	9.56751005550805E-05	0.000104157902297723	0.000107897471376671	0.0001226400012264	0.000122381038721755	6093
Sheldon	M	7.09306801154805E-05	6.05267777043562E-05	6.25923007279825E-05	6.68921739800375E-05	6.09674034362342E-05	5.15772756532475E-05	5.34846796955346E-05	4.92709214029213E-05	5.41902620099168E-05	4.81939059901192E-05	5.91705926537518E-05	4.8937264077024E-05	4.49096409907067E-05	3.79538844038543E-05	3.58612503586125E-05	3.72218827448657E-05	3175
Penny	F	1.31154842477681E-05	1.15790357347464E-05	1.38803009982555E-05	1.32743224629646E-05	1.51786066646226E-05	2.00300099624262E-05	2.26673166328694E-05	2.72562543931054E-05	4.11845991275368E-05	4.51817868657367E-05	6.35535995169926E-05	6.90070409176012E-05	9.27952220470626E-05	0.000100848892844527	0.000114427501144275	9.98223219066853E-05	2817
Howard	M	7.09306801154805E-05	6.78952549901039E-05	6.15447308413217E-05	5.96043106670373E-05	6.14733569917216E-05	6.00900298872786E-05	5.83237697632259E-05	5.63470643703622E-05	6.20478500013548E-05	5.66826053406515E-05	5.5335461648416E-05	5.30611908250878E-05	5.68134012533036E-05	5.25932398167695E-05	6.5700000657E-05	5.66787759978637E-05	3590
Raj	M	1.63274395737521E-05	2.31580714694928E-05	1.83324730165639E-05	1.63976924542504E-05	9.61311755426099E-06	1.12668806038647E-05	7.89535747886464E-06	1.07452541357435E-05	1.13799550220825E-05	1.31437925427598E-05	1.15053930160073E-05	1.18219233444496E-05	1.13626802506607E-05	1.03017686239033E-05	6.2962500629625E-06	9.86943860659318E-06	750
Bernadette	F	2.70339573270322E-05	2.60528304031794E-05	2.51416772798591E-05	2.36855557672506E-05	2.37798171079088E-05	1.85277592152442E-05	1.9611049221696E-05	2.01801114256646E-05	2.11342021838676E-05	1.72512277123722E-05	2.41065377478248E-05	2.61182027377375E-05	3.62523607997271E-05	4.20203720185529E-05	4.051500040515E-05	4.93471930329659E-05	1645
Amy	F	0.000828416811160046	0.000757637360916702	0.000815533156765429	0.000768869579521521	0.000694168278128741	0.000708311227296297	0.000646655246414107	0.000650480994266228	0.000618039938223101	0.000599685534763415	0.000611703395351054	0.000613915228561767	0.000592482613070166	0.000552771216424706	0.00050260500502605	0.000486140347364761	39362
