Name	Sex	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	Total
Neo	M	0	0	0	0	0	24	116	111	66	84	108	80	589
Morpheus	M	0	0	0	0	0	0	5	0	0	0	0	0	5
Trinity	F	260	322	331	436	481	1481	4284	4479	4384	5126	5632	5449	32665
Tank	M	0	0	0	0	0	0	0	0	0	8	0	0	8
